Title,Company,DeadlineHoSo,Salary,Quantity,Hthuc,CapBac,GioiTinh,KinhNghiem,DiaChi,Skill,JobData
"
Scrum Master
",CÔNG TY CP CODEGYM VIỆT NAM," Hạn nộp hồ sơ: 30/01/2023
","
15-20 triệu
",2 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,"Hà Nội,Thanh Xuân,Nam Từ Liêm",,"Thực hiện các công tác giảng dạy theo chương trình đào tạo của Công ty kết hợp với quy trình Scrum và Agile.,Thực hiện đánh giá, kiểm tra định kỳ học viên theo yêu cầu của quy trình đào tạo, chuyển kết quả về phòng Đào tạo.,Tham gia các công việc quản lý lớp học.,Tham gia nghiên cứu giáo trình, tài nguyên giảng dạy.,Hỗ trợ học viên trong quá trình học tập tại Công ty.,Tham gia điều phối các cuộc họp của phòng Đào tạo, dự án của học viên.,Duy trì và điều phối các hoạt động của nhóm Mentor.,Tốt nghiệp Đại học/Cao đẳng đúng chuyên ngành giảng dạy hoặc có chứng chỉ, kinh nghiệm chứng minh có thể giảng dạy chuyên môn.,Có kinh nghiệm làm việc với các dự án thực tế với quy trình Scrum/Agile.,Kiến thức các công cụ cộng tác Agile: Jira, Confluence, Miro, Slack, Trello…,Sử dụng tốt tin học văn phòng.,Tinh thần trách nhiệm cao, nhiệt tình, tâm huyết với công việc đào tạo, kỷ luật, năng động, cầu tiến.,Môi trường làm việc tử tế, chia sẻ, năng động, kỷ luật, đề cao tinh thần học tập và phát triển.,Ban lãnh đạo quan tâm đến đời sống và tinh thần CBNV,Đồng nghiệp trẻ trung, năng động, thúc đẩy khả năng sáng tạo,Tham gia BHYT, BHXH, BHTN và các chế độ phúc lợi theo quy định của Công ty (như sinh nhật, thưởng các ngày lễ, tết, hiếu hỉ, lương tháng 13 dựa theo tình hình kinh doanh).,Khám sức khỏe định kỳ hàng năm.,Được tham gia giờ học tập nội bộ 1 lần/tuần.,Tham gia các khóa đào tạo định kỳ về quản lý công việc và nâng cao chuyên môn.,Được hỗ trợ chi phí thi các chứng chỉ chuyên ngành.,Review lương 02 lần/năm.,Du lịch công ty/team building ít nhất 2 lần/năm."
Java Developer,Công ty TNHH Draphony Vietnam," Hạn nộp hồ sơ: 14/01/2023
 ","
Tới 2,000 USD
",1 người,Toàn thời gian,Nhân viên,Không yêu cầu,3 năm,"Hà Nội,Cầu Giấy","Java,NodeJS,English","1. Hard-ware Budget,2. Child-benefit: Áp dụng đối với cả nhân viên nam và nữ: Được nghỉ trả lương đến 9 tháng sau khi sinh con.,3. Paid 20-day-vacation: Được nghỉ trả lương 01 tháng làm việc mỗi năm (maximum 30 ngày làm việc),4. Performance Bonus: Bonus mỗi năm dựa trên kết quả làm việc.,5. Health and fitness: Hoa quả tươi, bánh kẹo tại văn phòng. Công ty trả tiền fitness club tuỳ chọn cho nhân viên.,6. Meal and gas: Trả tiền ăn trưa lên đến 80.000/ngày cho mỗi ngày làm việc. Cung cấp tiền xăng xe đi lại 40.000 VND/l.,7. Training Budget: Lên đến 200$/năm để nhân viên tham gia các khoá học, mua sách, mua voucher exam, thường xuyên được training để nâng cao chất lượng công việc.,8. Home Office: Lên đến 75%.,9. Speed-up: Review lương thường xuyên. Không có month at level.,10. Illness leave: Nghỉ ốm được trả lương.,11. Monthly Retrospective: Review công việc hàng tháng.,12. Business trip to Germany: Cơ hội đi công tác, làm việc, sinh sống, định cư tại Đức. Công ty lo các thủ tục và hồ sơ cần thiết cho nhân viên."
Nhân Viên IT,Công ty TNHH MTV Trần Hân," Hạn nộp hồ sơ: 14/01/2023
","
8-10 triệu
",1 người,Toàn thời gian,Nhân viên,Nam,1 năm,"Hồ Chí Minh,Quận 7","IT Helpdesk,LAN,Tin học văn phòng","- Hỗ trợ các yêu cầu của người dùng và xử lý các lỗi liên quan đến máy tính, mạng máy tính, phần mềm, camera, các thiết bị ngoại vi (máy in, photocopy, máy chấm công,..) của khối Văn phòng.,- Quản lý máy móc thiết bị CNTT của khối văn phòng: lắp đặt/thu hồi/điều chuyển thiết bị cho nhân viên và kiểm kê tài sản.,- Lên kế hoạch-đề xuất bảo trì/bảo dưỡng thiết bị.,- Lên phương án cải tiến nâng cấp thiết bị, hệ thống.,- Thực hiện các công việc bảo trì hệ thống IT được phân công.,- Phối hợp với các phòng ban khác khi có yêu cầu.,- Cụ thể công việc sẽ được trao đổi khi phỏng vấn.,- Có ít nhất 1 năm kinh nghiệm IT helpdesk,- Tốt nghiệp nghề CNTT hoặc TC,CĐ,ĐH ngành CNTT,- Có tinh thần học hỏi, có nhiệt huyết và trách nhiệm trong công việc,- Năng động và sáng tạo, có khả năng chịu được áp lực công việc.,- Được tham gia BHXH, BHYT, BHTN, BHTNLĐ-BNN,- Được sử dụng phép năm, du lịch,..,- Được thưởng lễ, tết, sinh nhật,...,- Xét tăng lương định kỳ"
Web Developer,CÔNG TY TNHH MAICO GROUP," Hạn nộp hồ sơ: 14/01/2023
","
Trên 2 triệu
",3 người,Bán thời gian,Thực tập sinh,Không yêu cầu,Không yêu cầu kinh nghiệm,"Hồ Chí Minh,Thủ Đức",,"- Thực hiện mô tả, phân tích các yêu cầu phần mềm. Tham gia vào các nhiệm vụ đầy thử thách của 1 start-up.,- Lên kế hoạch hoàn thành các nhiệm vụ cá nhân.,- Research các kiến thức mới phục vụ cho công việc.,- Tham gia phát triển các website dùng NuxtJS và ASP.NET.,- Tham gia xây dựng hệ thống back-end sử dụng ASP.NET và MongoDB/Postgresql.,- Lập trình các yêu cầu xây dựng, nâng cấp liên quan đến phần Web, bao gồm lập trình và sửa lỗi sau kiểm thử, xây dựng tài liệu cài đặt hoặc triển khai.,- Thực hiện các nhiệm vụ khác theo yêu cầu.,- Là sinh viên khối ngành Công nghệ,- Ưu tiên thực tập sinh năm cuối lấy mộc cần phải làm việc 6 ngày/ tuần. Thời gian cam kết thực tập 3 tháng. Và cần xin giấy giới thiệu thực tập từ nhà trường;,- Có đam mê lập trình;,- Khả năng học hỏi nhanh và có tính kiên nhẫn;,- Nghiêm túc và có trách nhiệm trong công việc;,- Chịu được áp lực công việc;,- Có tinh thần cầu tiến, phát triển bản thân liên tục;,- Có xe máy, điện thoại cá nhân và laptop tốc độ nhanh;,- Đặc biệt: Chương trình sẽ không phù hợp với bạn đang phải học quá nhiều môn trên trường và đang làm thêm một công việc nào khác. Vì bạn sẽ không thể dành đủ thời,gian tập trung cho kỳ thực tập. Và chắc chắn sẽ không có kết quả cao.,- Được đào tạo từ đầu, chương trình đào tạo tinh gọn. Chúng tôi không tạo ra rào cản cho sự phát triển của bạn, tốc độ hoàn thành chương trình và gia nhập cùng đội ngũ của chúng tôi hoàn toàn do bạn làm chủ.,- Cơ hội tham gia cũng đội ngũ core team của start-up. Bạn sẽ có cơ hội kết nối sâu với công ty và đội ngũ lãnh đạo.,- Cơ hội cọ sát trong môi trường doanh nghiệp thực tế, hiểu được cách thức vận hành của một doanh nghiệp.,- Định vị, sau khi tốt nghiệp sẽ trở thành một nhân sự có Kỹ năng giải quyết vấn đề & có thể tìm được định hướng chuyên môn của mình.,- Được hưởng chính sách Teabreak, Team building,... miễn phí.,- Có cơ hội tham gia các hoạt động phát triển bản thân, nâng cấp năng lực, trải nghiệm các phương cách thực học như HỌC TỪ PHIM, HỌC TỪ SÁCH,...,- Hỗ trợ 500.000đ/tháng trong giai đoạn thực tập (học và thực hành).,- Sau chương trình thực tập, có thể làm việc với mức lương thỏa thuận trong khung giờ hành chính."
Unity Developer,XGame," Hạn nộp hồ sơ: 14/01/2023
","
Tới 40 triệu
",2 người,Toàn thời gian,Nhân viên,Nam,1 năm,"Hà Nội,Cầu Giấy","C#,Unity 3D","- Phát triển game 2D/3D trên nền tảng Unity,- Tham gia các dự án về game. Dev bằng Unity và các phần mềm lập trình khác.,- Phối hợp với các thành viên trong team để hoàn thiện và tối ưu game: animation, UI, UX...,- Đóng góp ý tưởng nội dung công việc.,- Lương net: 10-40tr/tháng , phụ cấp ăn trưa, thuê trọ, đi lại ,- Văn hóa công ty: đọc sách, tập thể dục hàng ngày;,- Làm việc trong môi trường trẻ trung, thân thiện và hướng đến việc phát triển con người;,- Thưởng các ngày nghỉ lễ. thưởng lương tháng 13; thưởng tết (3-5 tháng lương); ,- Xét duyệt thưởng tour du lịch 6 tháng/ lần,- Review lương 2 lần/năm;,- Trang bị thiết bị hiện đại, laptop, màn hình lớn;,- Chế độ BHXH, BHYT, BHTN theo luật lao động;,- Đồ ăn nhẹ /đồ uống miễn phí;,- Du lịch hàng năm, tham gia liên hoan hàng tháng;,- Tham gia vào CLB Bóng đá của công ty hàng tuần.,- Quyền lợi dành cho thành viên làm >1 năm: Khám sức khỏe tổng quát 1 năm/lần, Cấp vốn mua nhà,mua xe, thẻ tập gym, yoga"
"
Nhân Viên Hỗ Trợ Kỹ Thuật Đtdđ/Laptop [ An Phước - Long Thành - Đồng Nai ]
",Công ty Cổ phần Bán lẻ Kỹ thuật số FPT," Hạn nộp hồ sơ: 14/01/2023
","
7-12 triệu
",2 người,Toàn thời gian,Nhân viên,Nam,Không yêu cầu kinh nghiệm,"Đồng Nai,Long Thành",,"""Cài đặt ứng dụng và phần mềm cho các dòng ĐTDĐ/Laptop.,Tư vấn, hỗ trợ cho khách hàng về kỹ thuật và chức năng của sản phẩm.,Tiếp nhận và xử lý các trường hợp bảo hành liên quan đến phần mềm sản phẩm...,Hỗ trợ nhân viên bán hàng về kỹ thuật.,Lưu ý: Thời gian làm việc: Ca xoay (Ca 1: 8h00 – 15h00 / Ca 2: 15h00 – 22h00)"",""Nam tuổi từ 18 – 27.,Tốt nghiệp THPT trở lên.,Rành về kiến thức sản phẩm, am hiểu các hệ điều hành điện thoại, laptop.,Yêu thích công nghệ, ham học hỏi, chịu khó tìm tòi cập nhật kiến thức công nghệ mới.,Ngoại hình ưa nhìn, giọng nói rõ ràng, dễ nghe.,Kỹ năng giao tiếp tốt, năng động, vui vẻ và thân thiện."",""Làm việc tại công ty hàng đầu Việt Nam, lộ trình thăng tiến rõ ràng, luôn không ngừng phát triển cùng với sự lớn mạnh không ngừng của công ty.,Lương tháng 13 và thưởng theo hiệu quả KPI hàng quý và cuối năm.,Chế độ đào tạo theo chính sách công ty và yêu cầu công việc.,Làm việc trong môi trường trẻ chuyên nghiệp, năng động và thân thiện.,Tham gia đầy đủ các chế độ BHYT, BHXH, BHTN.,Khám sức khỏe định kỳ hàng năm.,Thường xuyên tổ chức các chương trình hội thao, hội diễn văn nghệ, tân niên/ tất niên, các hoạt động phong trào văn hóa đoàn thể..."""
"
Nhân Viên Hỗ Trợ Kỹ Thuật Đtdđ/Laptop [ Chợ Mới Long Thành - Long Thành - Đồng Nai ]
",Công ty Cổ phần Bán lẻ Kỹ thuật số FPT," Hạn nộp hồ sơ: 14/01/2023
","
7-12 triệu
",2 người,Toàn thời gian,Nhân viên,Nam,Không yêu cầu kinh nghiệm,"Đồng Nai,Long Thành",,"""Cài đặt ứng dụng và phần mềm cho các dòng ĐTDĐ/Laptop.,Tư vấn, hỗ trợ cho khách hàng về kỹ thuật và chức năng của sản phẩm.,Tiếp nhận và xử lý các trường hợp bảo hành liên quan đến phần mềm sản phẩm...,Hỗ trợ nhân viên bán hàng về kỹ thuật.,Lưu ý: Thời gian làm việc: Ca xoay (Ca 1: 8h00 – 15h00 / Ca 2: 15h00 – 22h00)"",""Nam tuổi từ 18 – 27.,Tốt nghiệp THPT trở lên.,Rành về kiến thức sản phẩm, am hiểu các hệ điều hành điện thoại, laptop.,Yêu thích công nghệ, ham học hỏi, chịu khó tìm tòi cập nhật kiến thức công nghệ mới.,Ngoại hình ưa nhìn, giọng nói rõ ràng, dễ nghe.,Kỹ năng giao tiếp tốt, năng động, vui vẻ và thân thiện."",""Làm việc tại công ty hàng đầu Việt Nam, lộ trình thăng tiến rõ ràng, luôn không ngừng phát triển cùng với sự lớn mạnh không ngừng của công ty.,Lương tháng 13 và thưởng theo hiệu quả KPI hàng quý và cuối năm.,Chế độ đào tạo theo chính sách công ty và yêu cầu công việc.,Làm việc trong môi trường trẻ chuyên nghiệp, năng động và thân thiện.,Tham gia đầy đủ các chế độ BHYT, BHXH, BHTN.,Khám sức khỏe định kỳ hàng năm.,Thường xuyên tổ chức các chương trình hội thao, hội diễn văn nghệ, tân niên/ tất niên, các hoạt động phong trào văn hóa đoàn thể..."""
"
Nhân Viên Hỗ Trợ Kỹ Thuật Đtdđ/Laptop [ Phước Thái - Long Thành - Đồng Nai ]
",Công ty Cổ phần Bán lẻ Kỹ thuật số FPT," Hạn nộp hồ sơ: 14/01/2023
","
7-12 triệu
",2 người,Toàn thời gian,Nhân viên,Nam,Không yêu cầu kinh nghiệm,"Đồng Nai,Long Thành",,"""Cài đặt ứng dụng và phần mềm cho các dòng ĐTDĐ/Laptop.,Tư vấn, hỗ trợ cho khách hàng về kỹ thuật và chức năng của sản phẩm.,Tiếp nhận và xử lý các trường hợp bảo hành liên quan đến phần mềm sản phẩm...,Hỗ trợ nhân viên bán hàng về kỹ thuật.,Lưu ý: Thời gian làm việc: Ca xoay (Ca 1: 8h00 – 15h00 / Ca 2: 15h00 – 22h00)"",""Nam tuổi từ 18 – 27.,Tốt nghiệp THPT trở lên.,Rành về kiến thức sản phẩm, am hiểu các hệ điều hành điện thoại, laptop.,Yêu thích công nghệ, ham học hỏi, chịu khó tìm tòi cập nhật kiến thức công nghệ mới.,Ngoại hình ưa nhìn, giọng nói rõ ràng, dễ nghe.,Kỹ năng giao tiếp tốt, năng động, vui vẻ và thân thiện."",""Làm việc tại công ty hàng đầu Việt Nam, lộ trình thăng tiến rõ ràng, luôn không ngừng phát triển cùng với sự lớn mạnh không ngừng của công ty.,Lương tháng 13 và thưởng theo hiệu quả KPI hàng quý và cuối năm.,Chế độ đào tạo theo chính sách công ty và yêu cầu công việc.,Làm việc trong môi trường trẻ chuyên nghiệp, năng động và thân thiện.,Tham gia đầy đủ các chế độ BHYT, BHXH, BHTN.,Khám sức khỏe định kỳ hàng năm.,Thường xuyên tổ chức các chương trình hội thao, hội diễn văn nghệ, tân niên/ tất niên, các hoạt động phong trào văn hóa đoàn thể..."""
Nhân Viên Kiểm Thử Phần Mềm,CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN VÀ TRUYỀN THÔNG GTEL," Hạn nộp hồ sơ: 20/01/2023
","
10-25 triệu
",5 người,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,"Thanh Xuân,Hà Nội",,"-	Đọc hiểu các tài liệu và phân tích yêu cầu của sản phẩm và thiết kế của dự án
,-	Lập kế hoạch test và kịch bản test, chuẩn bị dữ liệu test
,-	Test các dự án phần mềm, phối hợp với các bộ phận khác của công ty để đảm bảo chất lượng dự án
,-	Quản lý, phân tích và theo dõi kết quả test, báo cáo kết quả test…
,-	Phân tích kết quả kiểm tra và phát hiện Bugs
,-	Phát triển các chiến lược Test và quy trình làm việc / Frameworks Testing trong dự án
,-	Phối hợp với BA để hiểu các mục tiêu của dự án, nắm được các luồng nghiệp vụ hệ thống để từ đó đánh giá và đưa ra được phạm vi cần
,-	Automation Test, đáp ứng được yêu cầu dự án và có tính khả thi. Từ đó, thiết kế kịch bản Automation Test tương ứng
,-	Có khả năng đưa ra các giải pháp nhằm cải tiến, nâng cao hiệu quả của Automation Test trong quá trình làm việc
,-	Thực hiện các công việc khác theo sự phân công của Quản lý trực tiếp
,-	Tốt nghiệp Cao đẳng trở lên các ngành Công nghệ thông tin, Điện tử viễn thông hoặc tương đương
,-	Có kiến thức về lĩnh vực CNTT
,-	Ưu tiên ứng viên có kinh nghiệm test các dự án phần mềm CNTT: Dịch vụ công, cổng thông tin, nghiệp vụ doanh nghiệp từ 2 năm trở lên
,-	Ưu tiên có kinh nghiệm tham gia phát triển các dự án về ERP
,-	Nhanh nhẹn, không ngại việc khó, có khả năng làm việc độc lập và làm việc nhóm
,-	Trung thực, có ý thức học hỏi, trách nhiệm với công việc
,-	Làm việc với các tài liệu chuyên ngành bằng tiếng anh
,-	Lương cứng từ 10-25 triệu/tháng thỏa thuận theo kinh nghiệm
,-	Lương tháng thứ 13, thưởng các dịp lễ Tết, thưởng định kỳ
,-	Làm việc trong môi trường năng động, chuyên nghiệp có nhiều cơ hội thăng tiến.
,-	Hỗ trợ ăn trưa tại công ty
,-	Được đóng BHXH, BHYT, BHTN
,-	Tham gia các hoạt động liên hoan, sự kiện, teambuilding công ty tổ chức, du lịch hàng năm theo quy định
,-	Nghỉ phép, lễ tết theo quy định của Nhà nước
,-	Được hưởng các chính sách phúc lợi theo quy định của công ty
"
Quản Trị Hệ Thống,Công ty cổ phần VCCorp," Hạn nộp hồ sơ: 31/01/2023
","
8-15 triệu
",3 người,Toàn thời gian,Thực tập sinh,Không yêu cầu,Không yêu cầu kinh nghiệm,"Hà Nội,Thanh Xuân","Linux,Python,Kubernetes","● Tham gia triển khai, vận hành các dịch vụ: CDN, Storage, LBs, Database, ...,●  Tham gia triển khai, vận hành hệ thống K8s,●  Theo dõi hệ thống, lập thống kê và báo cáo định kì ,●  Theo dõi, vận hành, quản trị các server phục vụ các dịch vụ công ty,●  Nghiên cứu, thử nghiệm các giải pháp kỹ thuật mới phục vụ công việc,● ,● Thích tối ưu và theo dõi hệ thống,● Có khả năng viết các script đơn giản bằng shell, python ,● Hiểu biết về các khái niệm scaling, high availability, load balancers, caching, CDN...,● Có kiến thức về Networking,● Có kiến thức về bảo mật là lợi thế,● Biết Ansible (hoặc Salt, Chef, Puppet hay các công cụ tương tự),● Hiểu biết về các công cụ monitor, cảnh báo: nagios, cacti, smokeping, ganglia, ...,● Cẩn thận, trách nhiệm, có chính kiến, không ngại tranh luận,● ,● Thưởng đạt, vượt chỉ tiêu KPI/Thưởng năng suất: Xét thưởng áp dụng khi nhân viên đạt chỉ tiêu KPI cá nhân và hoặc tùy thuộc vào tình hình kết quả kinh doanh của công ty.,● Thưởng tháng lương 13 (thưởng Tết Âm Lịch): Xét thưởng định kỳ cuối năm căn cứ theo quy định của công ty và tùy thuộc vào tình hình kết quả kinh doanh của công ty.,● Thưởng thâm niên: Xét thưởng định kỳ cuối năm căn cứ theo thâm niên làm việc của nhân viên theo quy định của công ty và hoặc tùy thuộc vào tình hình kết quả kinh doanh của công ty.,● Môi trường trẻ trung, năng động, sáng tạo. ,● Có cơ hội được làm việc với các hệ thống lớn, tải cao, các dự án lớn, đang được ưu tiên phát triển tại VCCorp,● BizFly Cloud luôn luôn đi đầu tiên phong trong lĩnh vực Cloud Computing và các bạn sẽ được trải nghiệm các công nghệ Cloud tân tiến nhất trên thế giới.,● Thăm khám sức khỏe định kỳ hàng năm tại các bệnh viện cao cấp,● Được tham gia các hoạt động trải nghiệm tư vấn chăm sóc sức khỏe từ các chuyên gia y tế, do công ty tổ chức theo hình thức các kênh trực tuyến và trực tiếp tại văn phòng."
System Engineer,CÔNG TY TNHH SAMSUNG SDS VIỆT NAM," Hạn nộp hồ sơ: 01/02/2023
","
Thoả thuận
",5 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hà Nội,System Admin,"Act as a part of the team, the candidate will be responsible for setup, deploy , maintain stg & production environment automatically .The DevOp engineer identifies changes that are necessary to maintain optimal system performance while liaising with management to successfully target and deploy solutions. ,- Develop Ansible installation playbook.,- Configure, administrate Docker/Kubernetes utilities.,- Configure, administrate CI/CD utilities.,- Proactively Monitoring system performance and capacity planning,- Application deployment through CI/CD,- Develops a complete set of documentation describing the current configuration of system,- installation, configuration and tuning WEB, Application and database system,- Summary and statistics of daily reports from PinPoint and Kibana, Kafka,- Support development team to troubleshoot and resolve system problems (WEB, WAS, Middleware, DB),'- Have experience to manage Linux system,- Experience with Docker/ Kubernetes.,- Have experience with configuration tool Ansible, CI/CD tool : Jenkins / Docker / Sonaqube...,- Have minimum 1 year with MySQL or MariaDB, Have knowledge about MHA. ,- Manage source control including GIT and SVN,- Familiar with one of Monitoring Tools: Kibana, Kafka, PinPoint and Logstash, Prometheus, ElasticSearch.,- Basic networking knowledge.,- Ready to learn new technology.,SALARY, INSURANCE,• Salary negotiable,• 100% salary during 2-month probation,• Full-salary insurance starting right from probation period,• 15 month salary (3 month bonus based on basic salary),• Health check once per year,• Health insurance package,TRAINING & DEVELOPMENT:,• 1000$ for each employee per year for personal training,• Oversea training opportunities,OTHER BENEFITS:,• Numerous internal activities: team bonding, team training,…,• Gifts for each employee on 30/4,1/5; 2/9....(in cash),• Bonus for employee having Toeic or Topik certificates.,• 5 working days per week to ensure work-life balance, , , , , , , , , , , , , , "
Nhân Viên Thiết Kế,Công ty cổ phần mạng trực tuyến META," Hạn nộp hồ sơ: 15/01/2023
","
8-12 triệu
",2 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,"Hà Nội,Cầu Giấy","CSS,HTML,Illustrator,Photoshop","Thiết kế bố cục website, các banner, quảng cáo, Backdrop, Poster, chương trình sự kiện…,Đưa ra ý tưởng thiết kế phù hợp với nội dung chương trình và các sự kiện.,Thiết kế các banner phục vụ cho kế hoạch Marketing online: Fanpage và các mạng xã hội khác.,Phát triển ý tưởng sáng tạo cho các yếu tố hình ảnh của các chiến dịch quảng cáo.,Nam/Nữ tốt nghiệp Trung Cấp, Cao Đẳng, Đại học các ngành liên quan.
,Sử dụng thành thạo Adobe illustrator, Adobe photoshop, Corel,…
,Hiểu về bố cục, màu sắc, Typography cho thiết kế Marketing.
,Có tư duy sáng tạo và óc thẩm mỹ tốt.
,Kỹ năng làm việc độc lập và theo nhóm.
,Hòa đồng, chia sẻ trong công việc.
,Chịu được áp lực công việc cao.
,Tôn trọng Deadline.
,Ưu tiên ứng viên có kinh nghiệm thành thạo HTML, CSS, thiết kế web…
,Lương deal theo năng lực (lương cứng 8 - 12 triệu + thưởng),Lương cứng + Lương hiệu quả công việc + Thưởng chuyên cần + Lương thâm niên.,Môi trường làm việc năng động, thân thiện, cơ hội thăng tiến. Được đào tạo thêm để nâng cao nghiệp vụ chuyên môn.,Tăng lương lũy tiến theo tháng, đóng BHXH theo quy định của Nhà nước, lương tháng thứ 13, nghỉ phép 12 ngày/ năm, du lịch nghỉ mát hằng năm.,Nghỉ 1,5 ngày trong tuần (chiều thứ 7 và CN),Du lịch hàng năm trong nước và nước ngoài.,Mỗi nhân viên được trang bị 01 laptop khi vào làm việc, được mang máy tính về nhà.,Có cơ hội sắm các mặt hàng: gia dụng, điện lạnh, y tế sức khỏe ... với giá ưu đãi dành cho nhân viên công ty.,Được tham gia các hoạt động ngoại khóa: văn nghệ, thể thao, du lịch, Teambuilding của Công ty.,Các chế độ thăm hỏi ốm đau, thai sản, sinh nhật, hiếu hỉ,... theo quy định của Công ty"
"
Nhân Viên Triển Khai Phần Mềm
",Công ty TNHH giải pháp phần mềm BLACKWIND," Hạn nộp hồ sơ: 19/01/2023
","
8-12 triệu
",3 người,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,"Hà Nội,Ba Đình",ERP,"Triển khai phần mềm cho khách hàng, cài đặt và hướng dẫn sử dụng;,Hỗ trợ, trainning kỹ thuật, xử lý các vấn đề cho khách hàng trong quá trình sử dụng;,Ghi nhận yêu cầu của khách hàng, phối hợp với phòng kỹ thuật để chốt yêu cầu;,Test phần mềm nhằm đảm bảo chất lượng hệ thống khi triển khai;,Có kinh nghiệm từ 6 tháng trở lên ở các vị trí tương đương,Có khả năng phân tích, giải quyết vấn đề và quản lý công việc; khả năng giao tiếp, thuyết trình tốt,Có kinh nghiệm và hiểu biết về các phần mềm ERP, CRM, hoặc tương tự là một lợi thế,Có kỹ năng làm việc nhóm tốt, chăm chỉ, nhiệt tình, hòa đồng và có trách nhiệm trong công việc.,Có hiểu biết về ngôn ngữ lập trình CSDL là lợi thế.,Có thể đi công tác theo yêu cầu công việc, Lương: 8.000.000 - 12.000.000, Có cơ hội thăng tiến, đào tạo, có điều kiện khẳng định bản thân., Có cơ hội thực hiện các nhiệm vụ quan trọng và phát triển các kỹ năng trong nhiều lĩnh vực, khám phá những khả năng mới của bản thân, Được đóng BHXH, BHYT, BH thất nghiệp theo quy định của nhà nước., Lương tháng 13, hiếu hỉ, sinh nhật, du lịch...., Được hưởng các quyền lợi khác theo chính sách của công ty."
System Engineer,CÔNG TY TNHH SAMSUNG SDS VIỆT NAM," Hạn nộp hồ sơ: 31/01/2023
","
Thoả thuận
",8 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,"Hà Nội,Đống Đa",,"• Monitor, process of events based on KDB(knowledge Database),• Response if a failure occurs in the IT infrastructure or emergency actions are needed,. Support to check Fatal Event,. Support at weekends and at night Failure and emergency support,• Report the daily operation results ,• Respond to customer inquiries,• Work in shifts following 24/7, work on weekends and holidays,• University degree ,• Should have knowledge of OS basic commands,• Should have knowledge of DBMS basic commands,• Experience in DBMS (Oracle, MS-SQL etc.) and Experience in Cloud Services (AWS, Azure, GCP, OCI) are PLUS POINTS,• O/A hands-on skill are require (MS-Word, MS-Excel etc.),• Good teamwork and communication skills,SALARY, INSURANCE,• Salary negotiable,• 100% salary during 2-month probation,• Full-salary insurance starting right from probation period,• 3 times to receive bonus,• Health check once per year,• Accident insurance,TRAINING & DEVELOPMENT:,• 1000$ for each employee per year for personal training,• LinkedIn Learning Account,• Oversea training opportunities,OTHER BENEFITS:,• Numerous internal activities: team bonding, team training,…,• Gifts for each employee on 30/4,1/5; 2/9....(in cash) and many events to receive gifts,• Bonus for employee having Toeic or Topik certificates.,• SIGNING BONUS: 10,000,000 VND"
Tester,CÔNG TY CỔ PHẦN CÔNG NGHỆ TIMETECH," Hạn nộp hồ sơ: 15/01/2023
","
3-12 triệu
",2 người,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,"Hà Nội,Cầu Giấy",,"● Tạo test case, test plan, chuẩn bị các tài liệu test sản phẩm và hệ thống.,● Tiến hành test trên môi trường và báo cáo kết quả.,● Theo dõi và đánh giá chất lượng sản phẩm và hệ thống trước khi ra mắt.,● Nghiên cứu, tìm hiểu và ứng dụng các công nghệ, thủ thuật test phục vụ cho công việc.,● Làm việc theo sự phân công của cấp trên/quản lý trực tiếp.,● Intern:,- Tham gia đào tạo tối thiểu 5 buổi/tuần.,- Đã học khóa Test cơ bản,- Hiểu biết về quy trình test phần mềm, hệ thống là một lợi thế.,- Hiểu biết hoặc có tìm hiểu về quy trình phát triển sản phẩm công nghệ (Agile, Scrum...),- Hiểu biết test các app, web, test API, test Performance là một lợi thế.,● Fresher:,- Có ít nhất 03 tháng kinh nghiệm làm việc,- Nắm rõ kiến thức cơ bản về các phương pháp, công cụ Test.,- Hiểu rõ các giai đoạn Test trong một quy trình sản xuất phần mềm.,- Biết viết Test Plan, Test Case, Test Script, Scenario,...,● Intern:,- Trợ cấp thực tập sinh hàng tháng lên tới 3.000.000VND.,- Được tham gia vào các khóa đào tạo và đánh giá trình độ định kỳ.,- Được tham gia vào các dự án xây dựng sản phẩm thực tế.,- Có cơ hội trở thành nhân viên chính thức tại công ty với các chế độ hấp dẫn.,● Fresher:,- Mức lương thỏa thuận dựa trên năng lực (từ 6.000.000VND - 12.000.000VND).,- Thưởng lương tháng thứ 13+.,- Thưởng Lễ, Tết, sinh nhật, chế độ thăm hỏi ốm đau, hiếu hỉ.,- Nghỉ phép từ 12-18 ngày phép/năm.,- Tháng có 02 ngày remote.,- Tăng lương không giới hạn theo khả năng phát triển của từng cá nhân, tối thiểu 2 lần/năm.,● Thời gian làm việc linh động: 8h-17h30 từ thứ 2 - thứ 6 và 02 thứ 7/tháng.,● Môi trường làm việc trẻ trung, năng động, phát huy khả năng sáng tạo và lợi thế của bản thân.,● Thường xuyên có các hoạt động bonding, team building giải tỏa căng thẳng."
